X;time;peak
[16, 32, 1, 1];0.004436104150954634;0.11255865231533224
[16, 32, 1, 4];0.004436329298187047;0.11255293987440426
[16, 32, 2, 1];0.00418848532717675;0.1192130008244467
[16, 32, 2, 4];0.004607276001479477;0.1083768162796333
[16, 32, 4, 1];0.004113570030312985;0.12138407784051104
[16, 32, 4, 4];0.004944770596921444;0.10097979167583158
[16, 32, 8, 1];0.003906950820237398;0.12780347839944514
[16, 32, 8, 4];0.005010809632949531;0.09964894724367869
[16, 32, 16, 1];0.0037125852541066706;0.1344943942255819
[16, 32, 16, 4];0.005027413717471063;0.09931983576897235
[16, 32, 32, 1];0.00383191485889256;0.13030610625472272
[16, 32, 32, 4];0.005059339804574847;0.09869309515648642
[16, 64, 1, 1];0.0055523120099678636;0.08993044768836664
[16, 64, 1, 4];0.0055508113582618535;0.08995476022054176
[16, 64, 2, 1];0.004403003549668938;0.11340483811316682
[16, 64, 2, 4];0.005461822671350092;0.09142038011982526
[16, 64, 4, 1];0.004447798884939402;0.112262698399572
[16, 64, 4, 4];0.00459924089955166;0.10856615595207882
[16, 64, 8, 1];0.002930661925347522;0.17037854159950383
[16, 64, 8, 4];0.004617227707058191;0.10814322715741509
[16, 64, 16, 1];0.004068271839059889;0.12273562940604525
[16, 64, 16, 4];0.004595574690029025;0.10865276672475345
[16, 128, 1, 1];0.006238023634068668;0.08004488826154522
[16, 128, 1, 4];0.006335244630463421;0.07881651520777652
[16, 128, 2, 1];0.004222453339025378;0.11825397811907086
[16, 128, 2, 4];0.004966849577613175;0.10053090937411768
[16, 128, 4, 1];0.004169776744674891;0.11974787508697564
[16, 128, 4, 4];0.002905576431658119;0.17184951644068708
[16, 128, 8, 1];0.002411429100902751;0.2070647254671418
[16, 128, 8, 4];0.003491594805382192;0.1430068299999228
[16, 256, 1, 1];0.008319724001921713;0.060016642937502494
[16, 256, 1, 4];0.008367968024685979;0.05967062771856643
[16, 256, 2, 1];0.005838809767737985;0.08551775526595846
[16, 256, 2, 4];0.008158600307069719;0.06120190792153704
[16, 256, 4, 1];0.004635051358491182;0.10772737260983571
[16, 256, 4, 4];0.0038927497225813568;0.12826971687016006
[32, 16, 1, 1];0.006232956191524863;0.08010996538702578
[32, 16, 1, 4];0.007532036863267422;0.06629307766628446
[32, 16, 2, 1];0.006595678743906319;0.07570440043387851
[32, 16, 2, 4];0.008712122216820717;0.057313464197948374
[32, 16, 4, 1];0.00585013470845297;0.08535220634157793
[32, 16, 4, 4];0.008689508424140513;0.05746261818156798
[32, 16, 8, 1];0.005694765830412507;0.08768084933278737
[32, 16, 8, 4];0.008803481119684875;0.05671868866117114
[32, 16, 16, 1];0.0054912688210606575;0.09093015130617099
[32, 16, 16, 4];0.008805503137409687;0.05670566428402752
[32, 16, 32, 1];0.005750680167693645;0.08682832120746539
[32, 16, 32, 4];0.008991779759526253;0.05553093137461503
[32, 32, 1, 1];0.01295508211478591;0.03854255035496981
[32, 32, 1, 4];0.012957530561834574;0.03853526737823175
[32, 32, 2, 1];0.005157635954674333;0.09681216533116736
[32, 32, 2, 4];0.00488937710179016;0.10212382771193632
[32, 32, 4, 1];0.003891807165928185;0.1283007825087906
[32, 32, 4, 4];0.004906864953227341;0.10175986286997586
[32, 32, 8, 1];0.003984023351222277;0.1253310688072939
[32, 32, 8, 4];0.005710863624699414;0.08743369437195869
[32, 32, 16, 1];0.004803077026735991;0.1039587543531916
[32, 32, 16, 4];0.006424357416108251;0.07772324489760163
[32, 64, 1, 1];0.011377906543202698;0.04388521762469615
[32, 64, 1, 4];0.011338263167999685;0.04403865895185391
[32, 64, 2, 1];0.0049347387393936515;0.10118507404978813
[32, 64, 2, 4];0.004399891127832234;0.11348505911961368
[32, 64, 4, 1];0.0030271080613601953;0.16495014206316122
[32, 64, 4, 4];0.005200331506785005;0.09601732199388188
[32, 64, 8, 1];0.004097672877833247;0.12185499420000906
[32, 64, 8, 4];0.003815555654000491;0.13086479402767492
[32, 128, 1, 1];0.011908972403034568;0.04192821075264821
[32, 128, 1, 4];0.011909138993360102;0.041927624242214315
[32, 128, 2, 1];0.00671583937946707;0.0743498878618994
[32, 128, 2, 4];0.0038246033946052194;0.13055521141518137
[32, 128, 4, 1];0.0025580379588063806;0.1951972225599404
[32, 128, 4, 4];0.004555700812488794;0.1096037525978629
[32, 256, 1, 1];0.011177509906701744;0.04467201630145945
[32, 256, 1, 4];0.01187292137183249;0.0420555218993115
[32, 256, 2, 1];0.00703180069103837;0.07100910943028606
[32, 256, 2, 4];0.004331788688432425;0.11526922033276694
[64, 16, 1, 1];0.012747304514050484;0.03917078345555614
[64, 16, 1, 4];0.01345102395862341;0.03712147910061457
[64, 16, 2, 1];0.006559156929142773;0.07612592748671466
[64, 16, 2, 4];0.01022375503089279;0.048839384673549
[64, 16, 4, 1];0.004802389245014638;0.10397364296953877
[64, 16, 4, 4];0.010153493494726717;0.049177350142710075
[64, 16, 8, 1];0.004631612100638449;0.10780736683304615
[64, 16, 8, 4];0.007524796295911074;0.06635686670125983
[64, 16, 16, 1];0.00561234075576067;0.08896856525494932
[64, 16, 16, 4];0.00762433058116585;0.06549058956013323
[64, 32, 1, 1];0.004892122640740126;0.10206651415557372
[64, 32, 1, 4];0.00486823491519317;0.10256733979775333
[64, 32, 2, 1];0.005614089721348137;0.08894084874760433
[64, 32, 2, 4];0.006466492312029004;0.0772168094645475
[64, 32, 4, 1];0.0049890472437255085;0.10008361925012407
[64, 32, 4, 4];0.005390672828070819;0.0926270097791483
[64, 32, 8, 1];0.003983856469858438;0.12533631885077617
[64, 32, 8, 4];0.007225198787637055;0.06910839679820133
[64, 64, 1, 1];0.003817280987277627;0.13080564580549953
[64, 64, 1, 4];0.0038286816561594605;0.13041614571392002
[64, 64, 2, 1];0.00309603352798149;0.16127793844902122
[64, 64, 2, 4];0.004218692716676742;0.1183593919481397
[64, 64, 4, 1];0.0041982230031862855;0.11893648917242823
[64, 64, 4, 4];0.004254841827787459;0.11735381125120575
[64, 128, 1, 1];0.003757148573640734;0.13289916408018282
